"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-05,6890,monthly,91.24,2005-05-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-05,4157,monthly,99.87,2005-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-05,10801,monthly,92.45,2005-05-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-05,7633,monthly,90.85,2005-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-05,8270,monthly,91.79,2005-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-06,7885,monthly,90.91,2005-06-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-06,4474,monthly,101.25,2005-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-06,12211,monthly,93.76,2005-06-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-06,8951,monthly,92.15,2005-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-06,9656,monthly,92.79,2005-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-07,8444,monthly,92.04,2005-07-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-07,4806,monthly,103.55,2005-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-07,12482,monthly,94.82,2005-07-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-07,9091,monthly,93.05,2005-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-07,9874,monthly,93.96,2005-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-08,8319,monthly,92.74,2005-08-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-08,4378,monthly,105.04,2005-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-08,11919,monthly,95.75,2005-08-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-08,8833,monthly,93.6,2005-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-08,9151,monthly,94.77,2005-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-09,8473,monthly,92.0,2005-09-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-09,4623,monthly,103.5,2005-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-09,12695,monthly,95.77,2005-09-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-09,8943,monthly,93.07,2005-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-09,9561,monthly,94.95,2005-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-10,7681,monthly,92.8,2005-10-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-10,4311,monthly,103.83,2005-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-10,11373,monthly,95.5,2005-10-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-10,8230,monthly,93.0,2005-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-10,9058,monthly,95.09,2005-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-11,7772,monthly,92.8,2005-11-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-11,4400,monthly,105.2,2005-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-11,11646,monthly,95.79,2005-11-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-11,8712,monthly,93.59,2005-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-11,9053,monthly,95.17,2005-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-12,8951,monthly,92.6,2005-12-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-12,5168,monthly,105.06,2005-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-12,13313,monthly,97.44,2005-12-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-12,9778,monthly,93.84,2005-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-12,10191,monthly,95.78,2005-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-01,5978,monthly,91.39,2006-01-01
